num-db,wall-ms,num-cpu,cpu-user-ms,cpu-sys-ms,cpu-util-pct,http-requests,http-throttle,http-5xx,http-2xx,new-conns,max-goroutines,tx-failures
1,60481.65,32,9541.32,921.01,0.54,35131,0,0,35131,0,43,0
5,60611.77,32,45755.74,4312.01,2.58,197284,0,0,197250,0,78,0
10,60773.97,32,98586.64,10417.99,5.61,449434,0,0,449204,0,103,0
15,60987.71,32,141153.50,16133.71,8.06,626475,0,0,625877,0,136,0
1,60502.75,32,12848.36,670.75,0.70,44581,0,0,44581,0,51,0
5,60688.88,32,57401.00,1667.40,3.04,223766,0,0,223723,0,90,0
10,60943.13,32,104953.61,4733.60,5.62,430613,0,0,430359,0,111,0
15,61408.62,32,141090.71,8671.08,7.62,586275,0,0,585728,0,145,0
1,60345.50,32,13720.90,571.24,0.74,46529,0,0,46529,0,50,0
5,60604.96,32,57213.35,2218.72,3.06,234510,0,0,234454,0,85,0
10,60825.47,32,114926.23,6080.56,6.22,477721,0,0,477447,0,104,0
15,60972.12,32,166867.11,11222.13,9.13,694138,0,0,693516,0,104,0
30,61797.94,32,154647.06,26460.60,9.16,772101,0,0,770540,0,35,0
35,62430.29,32,167962.19,24406.77,9.63,820460,0,7,817866,0,35,0
40,62556.28,32,146878.97,17684.69,8.22,716491,0,9,713454,0,35,0
45,63239.80,32,146982.66,18540.46,8.18,704404,0,31,699785,0,35,0
50,64032.78,32,161838.14,25265.39,9.13,766473,0,66,759942,0,35,0
20,61506.34,32,144004.86,18775.87,8.27,719665,0,0,718648,0,34,0
25,61965.29,32,156607.36,22451.54,9.03,769707,0,0,768257,0,34,0
