num-db,db,num-tx,num-retries,obj-write,obj-read,meta-write,meta-read
1,0,6860,0,2941,14439,1959,11964
5,0,7287,133,3241,15429,2540,12707
5,1,7280,112,3217,15359,2460,12718
5,2,7273,112,3217,15348,2464,12719
5,3,7294,120,3231,15420,2481,12721
5,4,7266,118,3219,15338,2491,12667
10,0,8134,373,3813,17110,3623,14240
10,1,8197,342,3810,17188,3504,14362
10,2,8169,351,3804,17113,3516,14322
10,3,8113,358,3800,17127,3572,14205
10,4,8141,376,3819,17110,3622,14274
10,5,8218,333,3809,17166,3470,14378
10,6,8155,370,3823,17161,3589,14290
10,7,8155,350,3790,17159,3475,14314
10,8,8106,363,3801,17021,3607,14169
10,9,8218,357,3834,17158,3570,14414
15,0,7700,428,3668,16453,3639,13493
15,1,7651,444,3669,16371,3695,13415
15,2,7644,427,3652,16400,3656,13370
15,3,7658,446,3684,16340,3725,13432
15,4,7665,428,3674,16422,3702,13437
15,5,7609,450,3655,16250,3730,13328
15,6,7693,454,3707,16399,3786,13485
15,7,7672,457,3693,16402,3764,13437
15,8,7609,430,3642,16325,3662,13371
15,9,7616,440,3653,16228,3707,13348
15,10,7700,432,3678,16521,3667,13491
15,11,7686,440,3675,16443,3677,13475
15,12,7714,419,3676,16417,3654,13527
15,13,7672,433,3674,16413,3712,13412
15,14,7658,435,3674,16306,3711,13428
20,0,6692,371,3190,14491,3158,11708
20,1,6587,385,3178,14290,3254,11518
20,2,6426,361,3066,14058,3058,11243
20,3,6587,374,3167,14401,3201,11529
20,4,6664,384,3192,14418,3207,11656
20,5,6580,363,3147,14346,3119,11544
20,6,6426,387,3102,14052,3204,11255
20,7,6517,394,3149,14252,3224,11425
20,8,6524,373,3137,14312,3153,11409
20,9,6426,374,3097,14014,3178,11246
20,10,6552,386,3167,14271,3235,11468
20,11,6622,379,3182,14449,3206,11610
20,12,6552,344,3116,14303,3052,11479
20,13,6496,384,3130,14246,3215,11345
20,14,6559,380,3159,14288,3224,11477
20,15,6580,373,3150,14408,3144,11509
20,16,6510,370,3108,14203,3100,11419
20,17,6601,369,3159,14400,3155,11584
20,18,6580,352,3140,14326,3111,11532
20,19,6454,365,3088,14094,3089,11300
25,0,5334,293,2558,11871,2542,9329
25,1,5390,284,2557,12004,2492,9432
25,2,5341,270,2542,11846,2467,9358
25,3,5362,287,2548,11924,2470,9393
25,4,5292,279,2532,11796,2471,9278
25,5,5306,282,2530,11825,2481,9294
25,6,5418,268,2572,12010,2481,9488
25,7,5418,258,2552,12049,2419,9494
25,8,5264,278,2516,11706,2462,9224
25,9,5306,259,2524,11828,2439,9286
25,10,5292,284,2528,11807,2461,9295
25,11,5264,276,2521,11783,2445,9241
25,12,5369,271,2554,11888,2478,9387
25,13,5306,267,2525,11808,2445,9286
25,14,5383,278,2573,12012,2507,9449
25,15,5327,265,2529,11934,2426,9314
25,16,5285,265,2511,11797,2423,9272
25,17,5320,265,2530,11866,2436,9296
25,18,5369,267,2536,11909,2420,9411
25,19,5250,297,2521,11748,2499,9225
25,20,5313,262,2517,11861,2449,9288
25,21,5362,278,2562,11944,2498,9398
25,22,5418,256,2564,12024,2450,9481
25,23,5264,268,2519,11760,2478,9218
25,24,5369,287,2561,11909,2505,9418
30,0,4480,199,2118,10135,2006,7849
30,1,4564,224,2181,10349,2097,7991
30,2,4578,195,2152,10360,2040,7998
30,3,4473,226,2143,10111,2098,7862
30,4,4487,204,2124,10115,2019,7857
30,5,4690,205,2220,10585,2068,8221
30,6,4543,222,2158,10294,2085,7959
30,7,4627,197,2184,10422,2043,8112
30,8,4613,211,2175,10381,2061,8068
30,9,4578,235,2182,10328,2117,8019
30,10,4494,212,2127,10186,2017,7869
30,11,4578,233,2186,10365,2129,8028
30,12,4550,205,2137,10247,1997,7966
30,13,4473,214,2139,10162,2064,7845
30,14,4410,232,2120,9960,2082,7763
30,15,4480,205,2121,10144,2027,7845
30,16,4585,205,2165,10377,2078,8016
30,17,4487,213,2126,10177,2012,7848
30,18,4487,242,2158,10147,2184,7850
30,19,4585,217,2167,10364,2054,8022
30,20,4571,222,2165,10293,2087,8001
30,21,4585,219,2169,10361,2060,8020
30,22,4648,213,2200,10507,2079,8129
30,23,4501,226,2148,10228,2079,7898
30,24,4557,205,2153,10291,2048,7975
