num-db,db,tx-type,count,duration-ms,tx-per-sec
1,0,strong-read,6432,60519.86,106.2792
1,0,weak-read,3216,60519.86,53.1396
1,0,write,1072,60519.86,17.7132
5,0,strong-read,6792,60652.75,111.9817
5,0,weak-read,3396,60652.75,55.9909
5,0,write,1132,60652.75,18.6636
5,1,strong-read,6840,60652.75,112.7731
5,1,weak-read,3420,60652.75,56.3866
5,1,write,1140,60652.75,18.7955
5,2,strong-read,6828,60652.75,112.5753
5,2,weak-read,3414,60652.75,56.2876
5,2,write,1138,60652.75,18.7625
5,3,strong-read,6852,60652.75,112.9710
5,3,weak-read,3426,60652.75,56.4855
5,3,write,1142,60652.75,18.8285
5,4,strong-read,6828,60652.75,112.5753
5,4,weak-read,3414,60652.75,56.2876
5,4,write,1138,60652.75,18.7625
10,0,strong-read,7194,60745.31,118.4289
10,0,weak-read,3597,60745.31,59.2144
10,0,write,1199,60745.31,19.7381
10,1,strong-read,7212,60745.31,118.7252
10,1,weak-read,3606,60745.31,59.3626
10,1,write,1202,60745.31,19.7875
10,2,strong-read,7218,60745.31,118.8240
10,2,weak-read,3609,60745.31,59.4120
10,2,write,1203,60745.31,19.8040
10,3,strong-read,7164,60745.31,117.9350
10,3,weak-read,3582,60745.31,58.9675
10,3,write,1194,60745.31,19.6558
10,4,strong-read,7182,60745.31,118.2314
10,4,weak-read,3591,60745.31,59.1157
10,4,write,1197,60745.31,19.7052
10,5,strong-read,7236,60745.31,119.1203
10,5,weak-read,3618,60745.31,59.5602
10,5,write,1206,60745.31,19.8534
10,6,strong-read,7200,60745.31,118.5277
10,6,weak-read,3600,60745.31,59.2638
10,6,write,1200,60745.31,19.7546
10,7,strong-read,7218,60745.31,118.8240
10,7,weak-read,3609,60745.31,59.4120
10,7,write,1203,60745.31,19.8040
10,8,strong-read,7212,60745.31,118.7252
10,8,weak-read,3606,60745.31,59.3626
10,8,write,1202,60745.31,19.7875
10,9,strong-read,7242,60745.31,119.2191
10,9,weak-read,3621,60745.31,59.6095
10,9,write,1207,60745.31,19.8698
15,0,strong-read,6828,60791.04,112.3192
15,0,weak-read,3414,60791.04,56.1596
15,0,write,1138,60791.04,18.7199
15,1,strong-read,6792,60791.04,111.7270
15,1,weak-read,3396,60791.04,55.8635
15,1,write,1132,60791.04,18.6212
15,2,strong-read,6810,60791.04,112.0231
15,2,weak-read,3405,60791.04,56.0115
15,2,write,1135,60791.04,18.6705
15,3,strong-read,6780,60791.04,111.5296
15,3,weak-read,3390,60791.04,55.7648
15,3,write,1130,60791.04,18.5883
15,4,strong-read,6780,60791.04,111.5296
15,4,weak-read,3390,60791.04,55.7648
15,4,write,1130,60791.04,18.5883
15,5,strong-read,6804,60791.04,111.9244
15,5,weak-read,3402,60791.04,55.9622
15,5,write,1134,60791.04,18.6541
15,6,strong-read,6726,60791.04,110.6413
15,6,weak-read,3363,60791.04,55.3207
15,6,write,1121,60791.04,18.4402
15,7,strong-read,6828,60791.04,112.3192
15,7,weak-read,3414,60791.04,56.1596
15,7,write,1138,60791.04,18.7199
15,8,strong-read,6816,60791.04,112.1218
15,8,weak-read,3408,60791.04,56.0609
15,8,write,1136,60791.04,18.6870
15,9,strong-read,6774,60791.04,111.4309
15,9,weak-read,3387,60791.04,55.7154
15,9,write,1129,60791.04,18.5718
15,10,strong-read,6834,60791.04,112.4179
15,10,weak-read,3417,60791.04,56.2089
15,10,write,1139,60791.04,18.7363
15,11,strong-read,6810,60791.04,112.0231
15,11,weak-read,3405,60791.04,56.0115
15,11,write,1135,60791.04,18.6705
15,12,strong-read,6822,60791.04,112.2205
15,12,weak-read,3411,60791.04,56.1102
15,12,write,1137,60791.04,18.7034
15,13,strong-read,6798,60791.04,111.8257
15,13,weak-read,3399,60791.04,55.9128
15,13,write,1133,60791.04,18.6376
15,14,strong-read,6804,60791.04,111.9244
15,14,weak-read,3402,60791.04,55.9622
15,14,write,1134,60791.04,18.6541
20,0,strong-read,5946,61102.10,97.3125
20,0,weak-read,2973,61102.10,48.6563
20,0,write,991,61102.10,16.2188
20,1,strong-read,5850,61102.10,95.7414
20,1,weak-read,2925,61102.10,47.8707
20,1,write,975,61102.10,15.9569
20,2,strong-read,5928,61102.10,97.0179
20,2,weak-read,2964,61102.10,48.5090
20,2,write,988,61102.10,16.1697
20,3,strong-read,5898,61102.10,96.5270
20,3,weak-read,2949,61102.10,48.2635
20,3,write,983,61102.10,16.0878
